,gen,nevals,max,avg,min,std
190,10,100,[50.69298953],[44.5899402],[-4.90485394],[15.51938073]
191,11,100,[51.17208939],[45.56661529],[-5.39794488],[13.77597162]
192,12,100,[56.68286224],[46.8350096],[-5.02224976],[12.43022786]
193,13,100,[50.98912486],[46.77122671],[-4.80224976],[12.51021671]
194,14,100,[50.77874029],[46.6608975],[-2.62309019],[12.91716623]
195,15,100,[62.27832727],[47.07582555],[-3.5908362],[12.31276418]
196,16,100,[60.14671474],[44.8326805],[1.05035511],[14.28989291]
197,17,100,[60.57134109],[46.16998863],[-3.8308362],[13.21797043]
198,18,100,[50.8092439],[45.21485897],[-3.7308362],[13.68868784]
199,19,100,[56.42467398],[47.48833003],[1.22840579],[9.70854212]
200,20,100,[50.99430509],[45.59456951],[-3.7508362],[13.13536759]
201,21,100,[68.63628018],[47.68365389],[1.22840579],[10.46804671]
202,22,100,[53.6687993],[46.39668074],[-3.5308362],[12.39124689]
203,23,100,[65.30614852],[46.50514013],[-3.4108362],[12.45896359]
204,24,100,[65.24951937],[49.45924931],[1.30840579],[7.28074275]
205,25,100,[51.31763402],[47.7655618],[1.22840579],[8.2434571]
206,26,100,[55.88577897],[46.0811186],[1.30840579],[10.35890825]
207,27,100,[52.94824126],[48.36226582],[1.12840579],[7.55984992]
208,28,100,[50.71907843],[47.41185263],[-3.64179009],[10.21868744]
209,29,100,[53.61044573],[48.59406678],[27.2788368],[4.94003562]
210,0,100,[50.69298953],[3.54024619],[-6.01425252],[17.51789061]
211,1,100,[50.69298953],[11.12663612],[-5.69274545],[20.81784718]
212,2,100,[51.29928393],[25.31683963],[-5.49830135],[22.99771957]
213,3,100,[50.97866902],[34.34715528],[-5.33868986],[21.30769974]
214,4,100,[50.96593815],[43.73460401],[-5.48290084],[13.75747194]
215,5,100,[50.71095796],[39.51299364],[-5.53694045],[19.40039696]
216,6,100,[50.74593815],[42.22016307],[-4.88224976],[16.9304872]
217,7,100,[53.93898267],[45.50188741],[-4.84224976],[13.01821365]
218,8,100,[50.95206629],[48.04998567],[-3.56536283],[9.05786702]
219,9,100,[53.41811861],[48.91925737],[34.36859651],[4.46793946]
220,10,100,[50.83430509],[49.32676705],[25.03668842],[4.38323345]
221,11,100,[50.69298953],[48.39956471],[1.28840579],[7.41525192]
222,12,100,[50.71763886],[50.60023603],[50.49298953],[0.06143991]
223,13,100,[56.37060515],[50.01905586],[26.34916191],[3.44641937]
224,14,100,[51.0062161],[49.9956843],[10.14572124],[4.5297534]
225,15,100,[50.85740335],[49.78264626],[-5.14224976],[5.73187729]
226,16,100,[50.77977202],[48.01666494],[-5.00224976],[10.5018176]
227,17,100,[50.80899222],[48.66500008],[-3.5708362],[9.1262302]
228,18,100,[50.99689761],[48.9069881],[-5.02224976],[9.10020036]
229,19,100,[51.11240147],[47.52517074],[-3.5508362],[10.99104146]
230,20,100,[51.11430509],[47.7543188],[-5.48231655],[9.54299717]
231,21,100,[50.72562519],[46.44803485],[-4.96224976],[12.81597143]
232,22,100,[51.27618484],[47.29453944],[-5.00224976],[11.11734212]
233,23,100,[51.02033246],[48.40361009],[-3.2908362],[6.54928646]
234,24,100,[50.98033246],[46.62026701],[-4.59794488],[8.39324757]
235,25,100,[53.46764391],[48.15602051],[32.95666438],[5.13095164]
236,26,100,[51.04033246],[46.63161379],[9.26516292],[7.37454565]
237,27,100,[51.02199221],[46.24433812],[3.30459425],[8.77040443]
238,28,100,[50.9862161],[46.49942158],[33.80087381],[6.92138363]
239,29,100,[51.10653888],[46.35519943],[-3.6508362],[8.27620919]
240,0,100,[50.63298953],[2.13699675],[-5.50506417],[15.03066753]
241,1,100,[56.27146241],[13.95858004],[-5.52036001],[21.25712337]
242,2,100,[54.07321285],[22.99379487],[-5.51831276],[22.90775823]
243,3,100,[50.75984745],[34.44697982],[-5.525068],[21.54993279]
244,4,100,[51.33308633],[37.82503531],[-5.04224976],[19.68953773]
245,5,100,[59.39587393],[40.13402399],[-4.08691846],[18.82505097]
246,6,100,[50.69298953],[44.89047304],[-3.74536283],[15.03940049]
247,7,100,[59.35946606],[41.26825184],[-4.98224976],[19.31668961]
248,8,100,[53.54226895],[44.86267629],[-5.50437719],[15.47223012]
249,9,100,[50.69298953],[43.08052615],[-5.02224976],[17.90874698]
250,10,100,[56.49489553],[46.09596367],[-3.5108362],[14.10347444]
251,11,100,[56.31192322],[42.87118007],[-5.48173124],[17.54319037]
252,12,100,[50.69298953],[44.02615734],[-4.88224976],[17.04663153]
253,13,100,[62.50271433],[45.99682469],[-5.08224976],[14.36867807]
254,14,100,[50.69298953],[48.2430151],[-5.12224976],[10.37474044]
255,15,100,[50.69298953],[46.95168639],[-5.04224976],[13.12681595]
256,16,100,[50.84294696],[45.59000065],[-3.7308362],[14.5496073]
257,17,100,[50.82294696],[47.52164655],[-5.10224976],[12.12264036]
258,18,100,[50.69298953],[46.85483009],[-5.04224976],[12.67091618]
259,19,100,[53.61298953],[47.14847695],[-5.14224976],[11.63304901]
260,20,100,[51.05602163],[47.297513],[-5.43347383],[11.92583116]
261,21,100,[53.51887204],[48.41720459],[-4.94224976],[9.40191389]
262,22,100,[50.69298953],[46.4008687],[-5.00224976],[12.70030367]
263,23,100,[51.20169392],[45.32034961],[-4.96224976],[15.32617497]
264,24,100,[60.02306954],[44.18432412],[-4.96224976],[16.69104278]
265,25,100,[59.95921076],[43.63890337],[-3.5108362],[17.04724818]
266,26,100,[50.8973965],[44.47864235],[-5.00224976],[15.51152535]
267,27,100,[50.69298953],[47.53466061],[1.16840579],[11.37621139]
268,28,100,[50.69298953],[46.30115099],[-3.5708362],[13.41878278]
269,29,100,[51.22798341],[45.98791376],[-3.7908362],[14.8395572]
270,0,100,[50.69298953],[4.06279662],[-5.75549892],[16.79900613]
271,1,100,[50.72294696],[14.4000375],[-5.65176547],[22.10883016]
272,2,100,[53.84183168],[25.9054554],[-5.48406634],[23.59561059]
273,3,100,[50.83214339],[33.6183248],[-5.86772448],[21.96339364]
274,4,100,[51.43098421],[39.131434],[-5.06224976],[18.59974665]
275,5,100,[62.95414311],[41.98560699],[-5.51778742],[16.8097543]
276,6,100,[59.43107126],[40.56266313],[-5.51883729],[18.44209538]
277,7,100,[56.5295387],[41.28670474],[-5.12224976],[18.64691267]
278,8,100,[56.84283728],[46.4392014],[-5.08224976],[12.65005206]
279,9,100,[53.4873818],[44.33320907],[-5.50437719],[15.55963617]
280,10,100,[50.69298953],[45.17301329],[-5.00224976],[14.60591369]
281,11,100,[53.2804973],[47.79214081],[1.16840579],[10.82288532]
