,gen,nevals,max,avg,min,std
56,26,100,[71.36097046  2.        ],[53.47554143  1.04      ],[44.39631759  1.        ],[4.55808316 0.19595918]
57,27,100,[65.45110047  2.        ],[53.10342596  1.03      ],[39.74650164  1.        ],[4.80399113 0.17058722]
58,28,100,[66.19708036  2.        ],[53.21844208  1.07      ],[41.24083682  1.        ],[4.84372425 0.25514702]
59,29,100,[68.39472187  2.        ],[53.31466181  1.03      ],[41.55631759  1.        ],[4.92362806 0.17058722]
60,0,100,[74.25220963  1.        ],[50.58066443  0.99      ],[-3.61689228  0.        ],[8.00930233 0.09949874]
61,1,100,[74.3284548  1.       ],[55.95971407  1.        ],[46.83759282  1.        ],[7.11866436 0.        ]
62,2,100,[71.30863756  1.        ],[51.88943709  0.97      ],[-3.60393833  0.        ],[12.88015979  0.17058722]
63,3,100,[71.4780905  1.       ],[50.83340181  0.96      ],[-4.10416318  0.        ],[14.09691066  0.19595918]
64,4,100,[71.19617903  1.        ],[53.42180928  0.96      ],[-4.02409145  0.        ],[14.22299468  0.19595918]
65,5,100,[71.16444916  1.        ],[53.3096575  0.97     ],[-4.07022195  0.        ],[13.43953257  0.17058722]
66,6,100,[74.47523635  1.        ],[55.84154405  0.99      ],[22.00686853  0.        ],[8.00357556 0.09949874]
67,7,100,[74.26703541  1.        ],[55.73155365  0.99      ],[21.64824441  0.        ],[8.13515615 0.09949874]
68,8,100,[71.40614852  1.        ],[55.73587351  0.98      ],[-4.05952462  0.        ],[11.61959267  0.14      ]
69,9,100,[74.33494286  1.        ],[55.62945649  0.99      ],[25.12686853  0.        ],[7.4675707  0.09949874]
70,10,100,[71.43019545  1.        ],[58.00302239  1.        ],[47.18263458  1.        ],[7.10742862 0.        ]
71,11,100,[74.30027238  1.        ],[58.13794761  1.        ],[47.79053418  1.        ],[7.72515739 0.        ]
72,12,100,[71.43571565  1.        ],[58.33328696  1.        ],[47.30658443  1.        ],[7.51748308 0.        ]
73,13,100,[74.17297957  1.        ],[58.96243685  1.        ],[47.19897189  1.        ],[7.21673493 0.        ]
74,14,100,[74.41745859  1.        ],[61.59223575  1.        ],[47.29977333  1.        ],[6.99020687 0.        ]
75,15,100,[77.33619835  1.        ],[61.05263715  1.        ],[47.30719322  1.        ],[7.59402311 0.        ]
76,16,100,[71.41619835  1.        ],[58.46355725  1.        ],[50.14780045  1.        ],[7.41894738 0.        ]
77,17,100,[77.30729474  2.        ],[61.24370852  1.01      ],[50.30571576  1.        ],[7.57410625 0.09949874]
78,18,100,[74.47494286  1.        ],[61.64714433  1.        ],[50.3058243  1.       ],[7.32589998 0.        ]
79,19,100,[74.05244143  1.        ],[61.82637628  1.        ],[47.26632504  1.        ],[7.10331932 0.        ]
80,20,100,[74.38383393  1.        ],[61.05941682  1.        ],[50.51298953  1.        ],[7.16557252 0.        ]
81,21,100,[71.44554411  1.        ],[62.0836905  1.       ],[50.15542119  1.        ],[6.56649567 0.        ]
82,22,100,[77.36324575  2.        ],[63.70064079  1.01      ],[50.17910596  1.        ],[6.40255539 0.09949874]
83,23,100,[77.32624277  2.        ],[63.86156287  1.01      ],[50.21924775  1.        ],[5.98466204 0.09949874]
84,24,100,[74.42902044  1.        ],[63.882133  1.      ],[50.27405064  1.        ],[5.88972434 0.        ]
85,25,100,[74.43682787  1.        ],[62.86986662  1.        ],[50.49298953  1.        ],[6.45814177 0.        ]
86,26,100,[77.27819758  1.        ],[63.67907901  1.        ],[50.20086463  1.        ],[6.67756316 0.        ]
87,27,100,[74.38320441  1.        ],[63.74847745  1.        ],[50.51298953  1.        ],[6.71316196 0.        ]
88,28,100,[77.40324575  1.        ],[63.98289534  1.        ],[50.53298953  1.        ],[6.46151257 0.        ]
89,29,100,[77.46324575  1.        ],[66.2247687  1.       ],[50.63298953  1.        ],[5.07489761 0.        ]
90,0,100,[54.01816182  1.        ],[38.32253312  0.74      ],[-5.12485394  0.        ],[21.54895185  0.43863424]
91,1,100,[53.88249281  1.        ],[25.73468398  0.52      ],[-5.16224976  0.        ],[25.15622983  0.49959984]
92,2,100,[53.69298953  1.        ],[26.2116953  0.52     ],[-4.98224976  0.        ],[24.70206563  0.49959984]
93,3,100,[53.90954944  1.        ],[20.47382776  0.38      ],[-5.12224976  0.        ],[24.33628958  0.48538644]
94,4,100,[54.04835255  1.        ],[22.8800137  0.41     ],[-5.08224976  0.        ],[24.19300755  0.49183331]
95,5,100,[53.99397159  1.        ],[23.67686806  0.48      ],[-5.14224976  0.        ],[25.76238795  0.49959984]
96,6,100,[53.98863666  1.        ],[29.62001938  0.59      ],[-4.92224976  0.        ],[24.29601216  0.49183331]
97,7,100,[53.76335081  1.        ],[32.42853468  0.64      ],[-4.28983441  0.        ],[24.75437093  0.48      ]
98,8,100,[53.84216667  1.        ],[32.10199462  0.62      ],[-4.92485394  0.        ],[23.95236558  0.48538644]
99,9,100,[54.00249281  1.        ],[37.56271681  0.73      ],[-4.20614844  0.        ],[20.98907926  0.44395946]
100,10,100,[54.01816182  1.        ],[36.55807126  0.79      ],[-3.64355439  0.        ],[22.10399918  0.40730824]
101,11,100,[54.07816182  1.        ],[35.19347479  0.75      ],[-3.66094  0.     ],[22.77555584  0.4330127 ]
102,12,100,[53.99512052  1.        ],[42.19537514  0.81      ],[-3.54872245  0.        ],[17.52912702  0.3923009 ]
