,gen,nevals,max,avg,min,std
243,3,100,[63.16690756  2.        ],[45.83016967  0.99      ],[1.08951499 0.        ],[10.02133608  0.17291616]
244,4,100,[60.17167588  2.        ],[46.88356218  1.        ],[1.19413827 0.        ],[8.51033703 0.14142136]
245,5,100,[63.07719657  1.        ],[46.73546522  1.        ],[29.14560603  1.        ],[7.26975089 0.        ]
246,6,100,[63.22787774  1.        ],[46.15203197  1.        ],[28.97853011  1.        ],[8.15879471 0.        ]
247,7,100,[63.2013868  2.       ],[48.04410608  1.01      ],[29.19697889  1.        ],[7.0547096  0.09949874]
248,8,100,[66.02550526  1.        ],[45.39027937  0.99      ],[7.05413827 0.        ],[8.45756974 0.09949874]
249,9,100,[63.19719657  2.        ],[47.48330157  1.02      ],[29.02831255  1.        ],[8.33605715 0.14      ]
250,10,100,[62.98868836  2.        ],[45.45119263  1.01      ],[29.00032263  1.        ],[8.9797755  0.09949874]
251,11,100,[62.98846496  2.        ],[46.24227718  1.        ],[1.17043453 0.        ],[9.73746244 0.14142136]
252,12,100,[63.06539472  1.        ],[47.38424705  1.        ],[29.68995104  1.        ],[8.30375999 0.        ]
253,13,100,[65.70586499  1.        ],[47.52214342  1.        ],[29.16527292  1.        ],[8.91552915 0.        ]
254,14,100,[66.06164134  1.        ],[46.88317633  1.        ],[29.31106575  1.        ],[9.93029674 0.        ]
255,15,100,[65.97459118  1.        ],[47.67963151  1.        ],[29.28116336  1.        ],[8.18411342 0.        ]
256,16,100,[65.91330358  2.        ],[48.26990889  1.02      ],[29.00635341  1.        ],[9.66741445 0.14      ]
257,17,100,[65.72324587  2.        ],[49.26761638  1.01      ],[29.29724515  1.        ],[8.60276484 0.09949874]
258,18,100,[66.09011486  2.        ],[47.56642495  1.02      ],[29.31785662  1.        ],[9.89418796 0.14      ]
259,19,100,[68.44324724  2.        ],[50.19120751  1.        ],[4.51163761 0.        ],[10.53491071  0.14142136]
260,20,100,[63.11037726  1.        ],[46.89034202  0.99      ],[10.35043453  0.        ],[10.21151717  0.09949874]
261,21,100,[63.09895991  1.        ],[47.97228482  1.        ],[28.62823817  1.        ],[9.26506518 0.        ]
262,22,100,[68.17322212  2.        ],[50.5881997  1.01     ],[29.94802816  1.        ],[9.48080742 0.09949874]
263,23,100,[66.07325552  1.        ],[49.35446289  1.        ],[29.8080646  1.       ],[9.29689938 0.        ]
264,24,100,[65.67225785  1.        ],[50.60689294  1.        ],[29.52398932  1.        ],[10.1158769  0.       ]
265,25,100,[65.75694438  1.        ],[52.19577682  1.        ],[29.42079338  1.        ],[9.58042879 0.        ]
266,26,100,[65.99251631  1.        ],[52.3638807  1.       ],[29.21600106  1.        ],[9.58774529 0.        ]
267,27,100,[68.95311025  1.        ],[51.87722662  1.        ],[30.06107659  1.        ],[10.23679974  0.        ]
268,28,100,[68.88549054  1.        ],[54.68268586  1.        ],[32.7734696  1.       ],[8.49425045 0.        ]
269,29,100,[66.1907769  1.       ],[54.30870379  1.        ],[32.56342317  1.        ],[9.32515157 0.        ]
270,0,100,[65.44162639  1.        ],[50.90783559  0.97      ],[1.17043453 0.        ],[10.40496266  0.17058722]
271,1,100,[65.39662048  1.        ],[48.21536236  0.84      ],[-4.98224976  0.        ],[14.16403334  0.36660606]
272,2,100,[65.38166199  1.        ],[44.02453106  0.76      ],[-5.16983441  0.        ],[18.51379466  0.42708313]
273,3,100,[62.41484801  1.        ],[44.41387917  0.77      ],[-5.32607281  0.        ],[17.43120309  0.42083251]
274,4,100,[65.43309822  1.        ],[44.47705092  0.78      ],[-5.28494966  0.        ],[18.95482597  0.4142463 ]
275,5,100,[65.45985921  1.        ],[46.44306723  0.81      ],[-4.90224976  0.        ],[16.17107337  0.3923009 ]
276,6,100,[65.28796837  1.        ],[42.44219763  0.75      ],[-5.22224976  0.        ],[20.46304965  0.4330127 ]
277,7,100,[68.62781307  2.        ],[44.75419439  0.8       ],[-5.17812123  0.        ],[18.02181943  0.42426407]
278,8,100,[71.48099328  2.        ],[37.13247047  0.69      ],[-5.32422876  0.        ],[22.42614352  0.48363209]
279,9,100,[65.4054904  1.       ],[37.17205336  0.62      ],[-5.11095264  0.        ],[21.49510627  0.48538644]
280,10,100,[68.38433857  2.        ],[40.37614444  0.74      ],[-5.26224976  0.        ],[21.7349981   0.48207883]
281,11,100,[65.31193678  2.        ],[35.74594715  0.59      ],[-5.12322379  0.        ],[22.10514576  0.51176166]
282,12,100,[68.26851505  1.        ],[37.21020648  0.64      ],[-4.86224976  0.        ],[22.34906884  0.48      ]
283,13,100,[65.81179941  1.        ],[39.25990447  0.62      ],[-5.03642273  0.        ],[21.47890256  0.48538644]
284,14,100,[68.37858881  1.        ],[42.41827001  0.7       ],[-5.09791662  0.        ],[20.19817637  0.45825757]
285,15,100,[74.21701103  1.        ],[40.42267135  0.68      ],[1.33135662 0.        ],[21.69127577  0.46647615]
286,16,100,[71.31848923  2.        ],[38.84940126  0.68      ],[1.41670942 0.        ],[21.86982383  0.5075431 ]
287,17,100,[68.34648562  2.        ],[42.69186059  0.8       ],[1.47081934 0.        ],[20.64658752  0.4472136 ]
288,18,100,[71.39799577  1.        ],[45.93770228  0.79      ],[4.42828712 0.        ],[18.83608888  0.40730824]
289,19,100,[65.37060515  2.        ],[46.52261465  0.85      ],[1.36743538 0.        ],[19.3339861   0.38405729]
290,20,100,[68.40749879  2.        ],[45.63338414  0.84      ],[1.51135662 0.        ],[18.3168446   0.44090815]
291,21,100,[68.27832727  1.        ],[46.47959896  0.82      ],[4.21464366 0.        ],[18.86936893  0.38418745]
292,22,100,[62.37883341  2.        ],[44.42865171  0.83      ],[1.47135662 0.        ],[19.35164012  0.44844175]
293,23,100,[71.20699182  1.        ],[46.27819113  0.83      ],[1.73043453 0.        ],[17.34166641  0.3756328 ]
294,24,100,[68.35060515  2.        ],[46.75506048  0.87      ],[3.95464366 0.        ],[17.93459353  0.41605288]
295,25,100,[68.43139039  2.        ],[49.2442873  0.88     ],[1.42875187 0.        ],[16.45979655  0.38157568]
296,26,100,[71.32589083  2.        ],[49.97428711  0.9       ],[1.39425885 0.        ],[15.04918118  0.33166248]
297,27,100,[71.34951937  2.        ],[45.01891257  0.79      ],[4.54842308 0.        ],[19.77924103  0.43116122]
298,28,100,[78.40069398  2.        ],[50.56918213  0.92      ],[4.41081934 0.        ],[14.323506    0.39191836]
299,29,100,[71.35006182  1.        ],[56.49966928  1.        ],[38.7397885  1.       ],[3.94829096 0.        ]
