,gen,nevals,max,avg,min,std
0,0,100,[82.08444543],[5.17334101],[-6.12011142],[21.75822277]
1,1,100,[76.45891724],[17.11625913],[-6.13154775],[29.01239787]
2,2,100,[76.25487205],[37.65354274],[-6.12011142],[32.50428607]
3,3,100,[76.36298245],[51.17965462],[-6.12011142],[32.68497439]
4,4,100,[76.4802329],[60.25853582],[-6.12011142],[27.92754279]
5,5,100,[76.48255309],[57.90362562],[-6.05195351],[28.36444073]
6,6,100,[76.37353693],[69.61835838],[-5.97534175],[17.76528189]
7,7,100,[76.41520633],[61.07084624],[-5.97534175],[28.04108763]
8,8,100,[80.81765031],[65.25205881],[-5.97534175],[24.57238247]
9,9,100,[76.4598219],[63.99357418],[-5.97534175],[26.65120054]
10,10,100,[76.45298245],[62.93237847],[-5.97534175],[25.47056104]
11,11,100,[76.29158578],[65.07760527],[-5.97534175],[23.88479476]
12,12,100,[76.29958595],[68.15551303],[9.13183564],[18.47483079]
13,13,100,[76.30298245],[69.10643938],[4.76652401],[17.81029581]
14,14,100,[80.80444823],[69.96387517],[-5.56831537],[18.3779983]
15,15,100,[76.30298245],[64.790612],[-5.97534175],[24.43646317]
16,16,100,[76.48488409],[69.20515541],[-5.97534175],[19.6063523]
17,17,100,[76.47792342],[70.5911115],[-5.97534175],[17.1931634]
18,18,100,[85.40617806],[68.29548921],[-5.56831537],[19.32077673]
19,19,100,[76.38547984],[67.71879053],[-6.12011142],[17.7103436]
20,20,100,[76.48488409],[67.20845765],[-5.97534175],[18.37737657]
21,21,100,[80.81598086],[66.5721825],[3.43651559],[18.29194509]
22,22,100,[80.80935825],[66.0627703],[13.61176211],[17.77510665]
23,23,100,[80.84514865],[63.43077706],[9.07388208],[19.74136171]
24,24,100,[80.8277858],[63.87137711],[4.76652401],[20.13209658]
25,25,100,[80.82438442],[63.410115],[4.76652401],[19.40937025]
26,26,100,[80.80444823],[63.68136934],[-5.97534175],[19.75758583]
27,27,100,[80.96428622],[65.32603542],[9.17457521],[18.60265156]
28,28,100,[80.81598086],[62.21355647],[18.05184284],[19.93609168]
29,29,100,[76.48488409],[63.69866175],[-5.55469175],[20.17896028]
30,0,100,[80.81431697],[8.29766636],[-6.12011142],[25.97460762]
31,1,100,[76.25487205],[22.37420805],[-6.12011142],[30.78358513]
32,2,100,[80.75339929],[38.14893394],[-6.17263678],[33.29356535]
33,3,100,[76.42134138],[52.0939355],[-6.12011142],[30.52578531]
34,4,100,[80.67213983],[62.47512373],[-5.97534175],[25.99889433]
35,5,100,[76.52377394],[58.81298608],[-6.03766297],[28.23483767]
36,6,100,[76.79377394],[60.9852973],[-5.97534175],[28.09370868]
37,7,100,[76.48255309],[65.06537842],[-5.97534175],[24.2660413]
38,8,100,[76.25487205],[71.07623272],[9.02195346],[16.96345591]
39,9,100,[76.30298245],[72.65370363],[9.17457521],[12.79881996]
40,10,100,[76.30298245],[69.38365757],[-5.97534175],[19.69505499]
41,11,100,[76.35406154],[70.11195068],[4.68976423],[18.06708156]
42,12,100,[76.25487205],[73.01443351],[9.17457521],[12.85434213]
43,13,100,[76.30298245],[72.72203948],[-5.56831537],[14.53375299]
44,14,100,[76.25487205],[73.37241978],[4.76652401],[11.07496569]
45,15,100,[76.26080684],[70.58341878],[4.39303305],[16.89066847]
46,16,100,[76.25487205],[73.10832298],[-5.56831537],[13.07663562]
47,17,100,[76.40315756],[71.91844978],[-5.97534175],[16.13487006]
48,18,100,[76.25487205],[71.16299337],[-5.56831537],[15.0934156]
49,19,100,[76.25487205],[73.85261793],[9.17457521],[11.46355122]
50,20,100,[76.48488409],[75.38060789],[34.94530825],[5.37657464]
51,21,100,[76.48488409],[74.79018154],[9.17457521],[8.16674815]
52,22,100,[76.43384203],[73.09137018],[9.2494681],[11.18153121]
53,23,100,[76.47105833],[70.99834221],[9.13667829],[15.01972301]
54,24,100,[76.48488409],[72.4709036],[4.79910883],[13.10117731]
55,25,100,[80.89920497],[69.4311643],[9.17457521],[15.86288852]
56,26,100,[76.48488409],[66.85175504],[9.17457521],[17.62417663]
57,27,100,[76.48488409],[73.90532583],[34.94530825],[9.08905831]
58,28,100,[76.44235287],[67.61535112],[9.17457521],[16.8555189]
59,29,100,[80.917243],[70.98429764],[8.03325905],[14.6062264]
60,0,100,[76.25487205],[4.74747107],[-6.12011142],[23.40881843]
61,1,100,[76.29958595],[15.14498402],[-6.12011142],[29.36484313]
62,2,100,[76.35509222],[33.53935441],[-6.12011142],[31.87082276]
63,3,100,[80.6873803],[41.58172484],[-5.56947951],[32.96190472]
64,4,100,[76.34487205],[49.87598777],[-6.1218576],[30.81913086]
65,5,100,[76.48488409],[55.95809363],[-6.12011142],[28.79222999]
66,6,100,[76.48488409],[58.56639006],[-5.5795518],[28.81302161]
67,7,100,[76.36742693],[67.72081986],[-6.05038106],[20.35188683]
68,8,100,[80.57066941],[72.55375068],[-5.97534175],[14.08694625]
69,9,100,[76.48488409],[71.09560087],[9.17457521],[14.43978057]
70,10,100,[82.24303034],[72.491045],[-5.56831537],[14.29372259]
71,11,100,[76.25487205],[71.11795304],[-5.56831537],[15.45367825]
72,12,100,[80.75046673],[70.74466762],[-5.97534175],[19.50384287]
73,13,100,[76.25487205],[71.67921984],[-5.56831537],[15.54653997]
74,14,100,[80.75931652],[72.72360376],[-5.97534175],[14.57478801]
75,15,100,[80.80935825],[73.32660473],[-5.53547857],[12.79584937]
76,16,100,[76.48488409],[73.41077733],[-5.56831537],[11.41469687]
77,17,100,[80.75487205],[70.1326109],[-5.56831537],[19.59508913]
78,18,100,[80.81431697],[67.59472372],[-6.12198759],[21.14667673]
79,19,100,[76.42547363],[68.75973726],[-5.56831537],[20.83830173]
80,20,100,[77.60862305],[71.02840325],[-5.56831537],[15.50863022]
81,21,100,[76.25487205],[71.47834319],[-5.56831537],[14.13185777]
82,22,100,[80.81765031],[74.83385478],[12.45190142],[8.35014582]
83,23,100,[76.25487205],[72.79022904],[-5.97534175],[16.041791]
84,24,100,[80.65736043],[73.63813231],[-5.97534175],[12.24850005]
85,25,100,[76.36066123],[74.01522096],[-5.56831537],[11.25392979]
86,26,100,[76.39891724],[75.7810573],[61.58633267],[1.85916215]
