,Gain,Wins
0,-356.87999999999977,1.0
1,-365.6799999999998,1.0
2,-241.3599999999995,2.0
3,-487.5999999999998,1.0
4,-325.59999999999985,2.0
5,-160.43999999999943,3.0
6,-242.63999999999953,2.0
7,-350.11999999999966,1.4
8,-347.99999999999983,1.0
9,-156.95999999999918,3.0
