,Gain,Wins
0,-59.479999999999094,4.0
1,-261.9199999999996,3.0
2,-217.19999999999942,3.0
3,-268.59999999999945,3.0
4,-231.15999999999948,3.0
5,-263.5999999999994,2.0
6,-198.55999999999932,4.0
7,-338.59999999999945,2.0
8,-117.8799999999991,4.0
9,-299.3199999999994,3.0
