,Gain,Wins
0,-323.99999999999955,3.0
1,-149.63999999999947,3.0
2,-186.99999999999937,4.0
3,-371.23999999999967,2.0
4,-346.7999999999995,3.0
5,-314.1999999999995,2.0
6,-111.27999999999938,3.0
7,-92.87999999999948,3.0
8,-279.7999999999995,3.0
9,-284.59999999999974,2.0
