,gen,nevals,max,avg,min,std
235,25,100,[87.1445964  2.       ],[69.46191102  1.19      ],[7.95494464 0.        ],[21.69552051  0.82091412]
236,26,100,[86.8445964  2.       ],[74.6528676  1.4      ],[39.0006603  0.       ],[17.3078156   0.74833148]
237,27,100,[87.2045964  2.       ],[68.21754631  1.15      ],[34.55241856  0.        ],[19.79035689  0.80467385]
238,28,100,[87.15844593  2.        ],[76.34802209  1.46      ],[34.69065505  0.        ],[15.87528451  0.66962676]
239,29,100,[87.1745964  2.       ],[73.80720837  1.39      ],[21.18906522  0.        ],[18.2261273   0.76019734]
240,0,100,[77.10295665  1.        ],[48.41721873  0.11      ],[11.96391226  0.        ],[14.46700725  0.31288976]
241,1,100,[78.44201575  1.        ],[65.96037228  0.71      ],[2.96213193 0.        ],[16.54407449  0.45376205]
242,2,100,[78.76860656  1.        ],[50.7525613  0.51     ],[-1.50704428  0.        ],[27.25449491  0.49989999]
243,3,100,[78.66223813  1.        ],[65.65409792  0.76      ],[11.97554796  0.        ],[17.70590944  0.42708313]
244,4,100,[80.77967941  1.        ],[67.14015459  0.78      ],[7.74985198 0.        ],[15.7301523  0.4142463]
245,5,100,[81.18308791  1.        ],[60.0331126  0.7      ],[-1.35977466  0.        ],[27.33891533  0.45825757]
246,6,100,[83.24626538  1.        ],[69.32764136  0.73      ],[-1.46567314  0.        ],[18.26197875  0.44395946]
247,7,100,[83.18626538  1.        ],[61.81786761  0.5       ],[-5.63701678  0.        ],[22.69646458  0.5       ]
248,8,100,[83.21508752  1.        ],[56.03807552  0.35      ],[-5.70816323  0.        ],[23.47108467  0.4769696 ]
249,9,100,[83.27391244  1.        ],[60.57519056  0.4       ],[-5.58274669  0.        ],[21.00216086  0.48989795]
250,10,100,[83.15391244  1.        ],[49.18026074  0.32      ],[-5.96984767  0.        ],[27.38516645  0.46647615]
251,11,100,[83.27744602  1.        ],[53.89376107  0.39      ],[-5.74325481  0.        ],[26.02865295  0.48774994]
252,12,100,[83.21157051  1.        ],[56.45619128  0.39      ],[9.12823418 0.        ],[21.8816532   0.48774994]
253,13,100,[83.27157051  1.        ],[51.76245041  0.2       ],[-5.44339126  0.        ],[19.34642986  0.4       ]
254,14,100,[83.28007292  1.        ],[56.10760279  0.33      ],[17.12995724  0.        ],[18.73396403  0.47021272]
255,15,100,[83.4453634  1.       ],[56.33701982  0.36      ],[8.41861492 0.        ],[20.33795549  0.48      ]
256,16,100,[83.44913701  1.        ],[65.14433984  0.47      ],[12.80764536  0.        ],[17.9895954   0.49909919]
257,17,100,[83.26918858  1.        ],[63.77172352  0.47      ],[8.32880628 0.        ],[19.59317583  0.49909919]
258,18,100,[83.26392941  1.        ],[66.5071181  0.49     ],[-5.10179607  0.        ],[16.56037895  0.49989999]
259,19,100,[83.45166866  1.        ],[66.86942627  0.47      ],[12.77515019  0.        ],[14.08327823  0.49909919]
260,20,100,[83.3327401  1.       ],[66.22258717  0.53      ],[3.04361258 0.        ],[18.38169934  0.49909919]
261,21,100,[83.25360403  1.        ],[66.86758513  0.52      ],[16.59251924  0.        ],[16.87827773  0.49959984]
262,22,100,[83.53979342  1.        ],[68.67130346  0.57      ],[12.88207791  0.        ],[15.9305563   0.49507575]
263,23,100,[83.65979342  1.        ],[66.7329581  0.57     ],[17.12898353  0.        ],[18.19193258  0.49507575]
264,24,100,[83.65979342  1.        ],[62.62466269  0.47      ],[7.46805085 0.        ],[19.69370005  0.49909919]
265,25,100,[83.73850542  1.        ],[67.47245325  0.61      ],[7.63089464 0.        ],[18.91130663  0.48774994]
266,26,100,[88.22792891  2.        ],[66.51131553  0.62      ],[-5.56413124  0.        ],[22.41942348  0.50556899]
267,27,100,[87.25407939  2.        ],[55.94232402  0.62      ],[-5.56053368  0.        ],[27.46222322  0.56178288]
268,28,100,[87.19268662  2.        ],[55.20545848  0.6       ],[-5.57468488  0.        ],[28.6803835   0.58309519]
269,29,100,[87.52573776  2.        ],[58.65477115  0.64      ],[-5.5686649  0.       ],[26.90256263  0.59194594]
270,0,100,[85.93265859  2.        ],[77.65711168  1.03      ],[44.0635206  0.       ],[5.6353336  0.33030289]
271,1,100,[87.04815351  2.        ],[77.65390692  1.        ],[61.83083898  0.        ],[3.47418459 0.14142136]
272,2,100,[86.79664301  2.        ],[79.21265006  1.13      ],[57.33083898  0.        ],[5.09278078 0.43943145]
273,3,100,[87.14146478  2.        ],[77.9133159  1.05     ],[48.37754889  0.        ],[6.03239592 0.40926764]
274,4,100,[87.04815351  2.        ],[78.84184669  1.15      ],[35.09319032  0.        ],[6.13908698 0.4330127 ]
275,5,100,[86.99146478  2.        ],[78.56174087  1.11      ],[34.82397388  0.        ],[6.5756555  0.42178193]
276,6,100,[87.06664301  2.        ],[79.60417324  1.15      ],[44.08065092  0.        ],[5.45895684 0.40926764]
277,7,100,[87.09664301  2.        ],[80.24718365  1.19      ],[70.66241832  0.        ],[4.58314438 0.52335456]
278,8,100,[87.02146478  2.        ],[80.80416579  1.19      ],[66.33213264  0.        ],[3.96302145 0.41701319]
279,9,100,[87.17146478  2.        ],[81.13475821  1.26      ],[71.88419283  1.        ],[3.97357614 0.43863424]
280,10,100,[87.18664301  2.        ],[80.98505635  1.32      ],[61.81934422  0.        ],[4.81094743 0.4874423 ]
281,11,100,[87.92146615  2.        ],[82.46441417  1.4       ],[71.59750322  1.        ],[3.63561843 0.48989795]
282,12,100,[87.74146615  2.        ],[81.17080162  1.26      ],[43.67291771  0.        ],[6.08507417 0.52191953]
283,13,100,[87.98146615  2.        ],[82.08329675  1.24      ],[70.80810779  0.        ],[3.69781835 0.47159304]
284,14,100,[88.04146615  2.        ],[82.33549695  1.35      ],[66.33314845  0.        ],[3.92889759 0.51720402]
285,15,100,[88.04146615  2.        ],[82.03105754  1.35      ],[66.16612204  0.        ],[4.85124269 0.55452683]
286,16,100,[88.04146615  2.        ],[81.80635934  1.29      ],[70.83213264  0.        ],[5.03420716 0.63710282]
287,17,100,[88.01146615  2.        ],[81.94506334  1.37      ],[70.82625179  0.        ],[4.63525737 0.55955339]
288,18,100,[88.01146615  2.        ],[81.53769211  1.33      ],[66.30319375  0.        ],[4.8608301 0.5487258]
289,19,100,[87.98146615  2.        ],[81.0661635  1.3      ],[44.08044489  0.        ],[5.79632837 0.5       ]
290,20,100,[88.07146615  2.        ],[81.41373742  1.26      ],[70.8311308  0.       ],[4.56045468 0.54074023]
291,21,100,[88.04146615  2.        ],[80.94434129  1.27      ],[61.82187587  0.        ],[4.64426518 0.48692915]
292,22,100,[88.07146615  2.        ],[81.42444494  1.3       ],[71.59111744  1.        ],[4.04310964 0.45825757]
293,23,100,[88.07146615  2.        ],[81.30047897  1.33      ],[71.41750322  1.        ],[4.40405293 0.47021272]
294,24,100,[88.07146615  2.        ],[82.51201922  1.43      ],[71.50750322  1.        ],[4.51645105 0.49507575]
295,25,100,[87.95146615  2.        ],[82.04221755  1.4       ],[71.50111744  1.        ],[4.49890674 0.48989795]
296,26,100,[88.01146615  2.        ],[81.17124981  1.3       ],[66.33473005  0.        ],[4.55591193 0.47958315]
297,27,100,[88.10146615  2.        ],[81.15137645  1.3       ],[70.82299996  0.        ],[4.71700087 0.47958315]
298,28,100,[88.04146615  2.        ],[83.10110761  1.45      ],[75.91879022  1.        ],[3.67826229 0.49749372]
299,29,100,[88.07146615  2.        ],[84.39479114  1.58      ],[76.13482009  1.        ],[2.8297534  0.49355851]
