,Gain,Wins
0,-243.91999999999945,2.0
1,-420.87999999999977,1.0
2,-326.15999999999974,1.0
3,-346.9999999999998,1.0
4,-273.63999999999976,2.0
5,-416.79999999999984,1.0
6,-250.5199999999998,1.0
7,-293.83999999999946,2.0
8,-368.91999999999973,1.0
9,-238.67999999999944,2.0
